algorithm_name,env_n,scenario_n,states_n,actions_count,actions_cost,time,solution_found
UCS,3,1,4307,52.000000,52.000000,0.024808,True
UCS,3,2,5730,52.000000,340.000000,0.035890,True
UCS,4,1,8767,124.000000,124.000000,0.048392,True
UCS,4,2,8701,124.000000,763.000000,0.051617,True
UCS,5,1,3638,59.000000,59.000000,0.020681,True
UCS,5,2,908,59.000000,95.000000,0.005113,True
UCS,6,1,3040,46.000000,46.000000,0.017043,True
UCS,6,2,678,46.000000,73.000000,0.004007,True
UCS,7,1,5284,65.000000,65.000000,0.030418,True
UCS,7,2,4822,65.000000,299.000000,0.029552,True
UCS,8,1,5866,63.000000,63.000000,0.033464,True
UCS,8,2,5908,63.000000,351.000000,0.034690,True
UCS,9,1,7817,111.000000,111.000000,0.054838,True
UCS,9,2,4457,111.000000,291.000000,0.030970,True
UCS,10,1,5786,65.000000,65.000000,0.033522,True
UCS,10,2,7875,65.000000,632.000000,0.046164,True
UCS,11,1,4544,51.000000,51.000000,0.025616,True
UCS,11,2,7269,51.000000,420.000000,0.043854,True
UCS,12,1,7507,96.000000,96.000000,0.042980,True
UCS,12,2,7126,96.000000,600.000000,0.048446,True
UCS,13,1,736,20.000000,20.000000,0.003860,True
UCS,13,2,316,20.000000,47.000000,0.001686,True
UCS,14,1,6113,64.000000,64.000000,0.034273,True
UCS,14,2,7949,64.000000,586.000000,0.098177,True
UCS,15,1,9162,123.000000,123.000000,0.117994,True
UCS,15,2,9164,123.000000,708.000000,0.084656,True
UCS,16,1,938,23.000000,23.000000,0.006959,True
UCS,16,2,2264,23.000000,149.000000,0.019636,True
UCS,17,1,412,15.000000,15.000000,0.006811,True
UCS,17,2,1645,15.000000,123.000000,0.013197,True
UCS,18,1,4564,62.000000,62.000000,0.033126,True
UCS,18,2,3408,62.000000,224.000000,0.025117,True
UCS,19,1,8079,112.000000,112.000000,0.072279,True
UCS,19,2,6849,112.000000,418.000000,0.055774,True
UCS,20,1,6534,95.000000,95.000000,0.067434,True
UCS,20,2,7353,95.000000,617.000000,0.132246,True
UCS,21,1,6057,97.000000,97.000000,0.078932,True
UCS,21,2,8657,97.000000,898.000000,0.103444,True
UCS,22,1,7111,109.000000,109.000000,0.056937,True
UCS,22,2,3476,109.000000,244.000000,0.027421,True
UCS,23,1,5173,83.000000,83.000000,0.046995,True
UCS,23,2,3457,83.000000,290.000000,0.047291,True
UCS,24,1,930,23.000000,23.000000,0.010966,True
UCS,24,2,3566,23.000000,221.000000,0.043484,True
UCS,25,1,9044,99.000000,99.000000,0.146195,True
UCS,25,2,9114,99.000000,567.000000,0.177669,True
UCS,26,1,7872,106.000000,106.000000,0.069465,True
UCS,26,2,6373,106.000000,646.000000,0.048559,True
UCS,27,1,6824,80.000000,80.000000,0.040814,True
UCS,27,2,8809,80.000000,746.000000,0.054328,True
UCS,28,1,3353,77.000000,77.000000,0.026373,True
UCS,28,2,6389,77.000000,716.000000,0.044959,True
UCS,29,1,8179,87.000000,87.000000,0.091345,True
UCS,29,2,9004,87.000000,690.000000,0.141385,True
UCS,30,1,6731,102.000000,102.000000,0.053399,True
UCS,30,2,4052,102.000000,390.000000,0.026926,True
A*,1,1,283,64.000000,64.000000,0.001667,True
A*,1,2,283,64.000000,127.000000,0.001829,True
A*,2,1,52,14.000000,14.000000,0.000323,True
A*,2,2,52,14.000000,104.000000,0.000315,True
A*,3,1,597,52.000000,52.000000,0.004056,True
A*,3,2,597,52.000000,340.000000,0.005363,True
A*,4,1,3287,124.000000,124.000000,0.026432,True
A*,4,2,3287,124.000000,763.000000,0.033489,True
A*,5,1,215,59.000000,59.000000,0.003444,True
A*,5,2,242,59.000000,95.000000,0.001559,True
A*,6,1,150,46.000000,46.000000,0.001590,True
A*,6,2,150,46.000000,73.000000,0.000933,True
A*,7,1,794,65.000000,65.000000,0.005587,True
A*,7,2,794,65.000000,299.000000,0.005510,True
A*,8,1,925,63.000000,63.000000,0.005983,True
A*,8,2,925,63.000000,351.000000,0.006545,True
A*,9,1,1581,111.000000,111.000000,0.012769,True
A*,9,2,1581,111.000000,291.000000,0.018169,True
A*,10,1,171,65.000000,65.000000,0.002319,True
A*,10,2,171,65.000000,632.000000,0.002215,True
A*,11,1,347,51.000000,51.000000,0.003785,True
A*,11,2,347,51.000000,420.000000,0.003737,True
A*,12,1,1929,96.000000,96.000000,0.016292,True
A*,12,2,1929,96.000000,600.000000,0.017859,True
A*,13,1,51,20.000000,20.000000,0.000618,True
A*,13,2,51,20.000000,47.000000,0.000609,True
A*,14,1,238,64.000000,64.000000,0.003114,True
A*,14,2,238,64.000000,586.000000,0.003088,True
A*,15,1,3461,123.000000,123.000000,0.032743,True
A*,15,2,3461,123.000000,708.000000,0.031079,True
A*,16,1,138,23.000000,23.000000,0.000859,True
A*,16,2,138,23.000000,149.000000,0.000862,True
A*,17,1,40,15.000000,15.000000,0.000248,True
A*,17,2,40,15.000000,123.000000,0.000266,True
A*,18,1,682,62.000000,62.000000,0.004328,True
A*,18,2,682,62.000000,224.000000,0.009253,True
A*,19,1,2382,112.000000,112.000000,0.015913,True
A*,19,2,2382,112.000000,418.000000,0.024596,True
A*,20,1,1912,95.000000,95.000000,0.017156,True
A*,20,2,1912,95.000000,617.000000,0.017330,True
A*,21,1,560,97.000000,97.000000,0.003828,True
A*,21,2,544,97.000000,898.000000,0.004769,True
A*,22,1,1259,109.000000,109.000000,0.012369,True
A*,22,2,1259,109.000000,244.000000,0.010247,True
A*,23,1,1204,83.000000,83.000000,0.009150,True
A*,23,2,1204,83.000000,290.000000,0.008350,True
A*,24,1,44,23.000000,23.000000,0.000690,True
A*,24,2,44,23.000000,221.000000,0.000286,True
A*,25,1,1973,99.000000,99.000000,0.015875,True
A*,25,2,1973,99.000000,567.000000,0.018051,True
A*,26,1,2270,106.000000,106.000000,0.021998,True
A*,26,2,2270,106.000000,646.000000,0.023868,True
A*,27,1,396,80.000000,80.000000,0.004814,True
A*,27,2,391,80.000000,746.000000,0.002709,True
A*,28,1,293,77.000000,77.000000,0.001765,True
A*,28,2,293,77.000000,716.000000,0.002141,True
A*,29,1,713,87.000000,87.000000,0.006513,True
A*,29,2,713,87.000000,690.000000,0.005121,True
A*,30,1,2054,102.000000,102.000000,0.013843,True
A*,30,2,2054,102.000000,390.000000,0.015898,True
