algorithm_name,env_n,size,best_solution,H,states,time,success
random,2,12,"[1, 10, 8, 3, 11, 9, 2, 6, 4, 0, 7, 5]",1,10000,0.11493444442749023,False
random,3,12,"[10, 6, 3, 0, 11, 9, 5, 1, 8, 4, 2, 7]",0,5348,0.07047700881958008,True
random,4,12,"[4, 10, 0, 2, 3, 8, 6, 1, 9, 11, 5, 7]",1,10000,0.11246085166931152,False
random,5,12,"[1, 4, 8, 3, 7, 2, 10, 5, 0, 11, 9, 6]",1,10000,0.10288119316101074,False
random,6,12,"[1, 4, 9, 3, 0, 10, 8, 11, 5, 7, 2, 6]",0,1533,0.020692825317382812,True
random,7,12,"[9, 7, 0, 8, 3, 1, 10, 5, 11, 6, 4, 2]",1,10000,0.12467169761657715,False
random,8,12,"[7, 11, 1, 8, 2, 0, 9, 3, 5, 10, 4, 6]",1,10000,0.1159048080444336,False
random,9,12,"[6, 10, 7, 5, 11, 2, 0, 3, 8, 4, 9, 1]",1,10000,0.11411547660827637,False
random,10,12,"[1, 10, 4, 11, 3, 0, 7, 5, 2, 9, 6, 8]",1,10000,0.09863948822021484,False
random,11,12,"[11, 0, 2, 4, 6, 8, 10, 7, 1, 3, 5, 9]",1,10000,0.10584878921508789,False
random,12,12,"[8, 6, 2, 0, 7, 4, 10, 3, 9, 11, 5, 1]",0,3526,0.038922786712646484,True
random,13,12,"[11, 3, 8, 10, 4, 2, 0, 6, 9, 7, 5, 1]",1,10000,0.10357117652893066,False
random,14,12,"[2, 4, 7, 8, 10, 5, 1, 11, 0, 6, 3, 9]",1,10000,0.11015081405639648,False
random,15,12,"[4, 8, 1, 11, 6, 2, 7, 10, 0, 3, 5, 9]",0,6777,0.07964491844177246,True
random,16,12,"[11, 0, 10, 2, 4, 8, 3, 9, 6, 1, 5, 7]",1,10000,0.09961771965026855,False
random,17,12,"[6, 1, 7, 11, 5, 0, 2, 4, 10, 8, 3, 9]",1,10000,0.11041402816772461,False
random,18,12,"[4, 1, 6, 8, 10, 0, 3, 5, 2, 11, 9, 7]",1,10000,0.14536070823669434,False
random,19,12,"[5, 7, 10, 1, 6, 2, 0, 11, 8, 4, 9, 3]",0,1285,0.01934504508972168,True
random,20,12,"[6, 3, 11, 4, 9, 5, 2, 10, 7, 0, 8, 1]",1,10000,0.09998607635498047,False
random,21,12,"[1, 9, 2, 10, 8, 3, 5, 0, 11, 6, 4, 7]",0,2633,0.033560991287231445,True
random,22,12,"[2, 8, 6, 4, 7, 1, 11, 5, 3, 9, 0, 10]",1,10000,0.09965682029724121,False
random,23,12,"[1, 4, 8, 10, 2, 7, 11, 0, 3, 6, 9, 5]",0,7120,0.07409453392028809,True
random,24,12,"[4, 2, 11, 3, 7, 10, 1, 5, 9, 0, 6, 8]",1,10000,0.10439920425415039,False
random,25,12,"[5, 3, 10, 6, 11, 4, 7, 0, 2, 9, 1, 8]",1,10000,0.12119507789611816,False
random,26,12,"[4, 0, 11, 3, 9, 7, 2, 10, 6, 1, 5, 8]",1,10000,0.11680316925048828,False
random,27,12,"[5, 7, 2, 0, 8, 6, 9, 3, 1, 11, 4, 10]",0,679,0.0065424442291259766,True
random,28,12,"[2, 8, 6, 4, 0, 5, 11, 10, 3, 7, 9, 1]",1,10000,0.1033790111541748,False
random,29,12,"[11, 4, 9, 7, 10, 1, 6, 2, 0, 8, 3, 5]",1,10000,0.1169121265411377,False
random,30,12,"[7, 1, 8, 0, 9, 6, 2, 10, 4, 11, 5, 3]",1,10000,0.11383914947509766,False
random,31,12,"[7, 6, 11, 5, 2, 0, 10, 3, 1, 9, 4, 8]",1,10000,0.12086987495422363,False
random,32,12,"[7, 4, 1, 11, 0, 3, 10, 8, 5, 9, 2, 6]",0,4501,0.05239367485046387,True
random,33,12,"[8, 3, 7, 10, 2, 5, 1, 9, 11, 6, 4, 0]",1,10000,0.10439395904541016,False
random,34,12,"[4, 7, 10, 2, 9, 6, 3, 0, 11, 1, 8, 5]",0,152,0.0014057159423828125,True
random,35,12,"[7, 10, 3, 6, 8, 1, 11, 5, 0, 9, 4, 2]",1,10000,0.10861730575561523,False
random,36,12,"[9, 4, 1, 7, 0, 2, 11, 6, 8, 10, 5, 3]",1,10000,0.12055706977844238,False
random,37,12,"[9, 6, 4, 1, 10, 0, 7, 3, 11, 8, 2, 5]",0,4734,0.06258821487426758,True
random,38,12,"[4, 7, 1, 3, 11, 6, 8, 0, 5, 10, 2, 9]",1,10000,0.11350846290588379,False
random,39,12,"[9, 7, 0, 8, 1, 2, 10, 6, 4, 11, 5, 3]",1,10000,0.09866905212402344,False
random,40,12,"[6, 1, 10, 0, 5, 9, 11, 3, 7, 4, 8, 2]",1,10000,0.1360151767730713,False
random,41,12,"[9, 4, 5, 3, 0, 10, 8, 11, 2, 7, 1, 6]",1,10000,0.13131499290466309,False
random,42,12,"[3, 8, 10, 4, 9, 0, 2, 11, 6, 1, 7, 5]",0,6559,0.06690001487731934,True
random,43,12,"[3, 5, 2, 10, 7, 0, 8, 1, 4, 6, 11, 9]",1,10000,0.10497260093688965,False
random,44,12,"[0, 7, 10, 4, 1, 9, 5, 3, 11, 2, 8, 6]",1,10000,0.10250425338745117,False
random,45,12,"[4, 1, 10, 6, 11, 0, 7, 9, 2, 5, 3, 8]",1,10000,0.10491394996643066,False
random,46,12,"[0, 3, 5, 7, 8, 11, 2, 6, 1, 10, 4, 9]",1,10000,0.11851096153259277,False
random,47,12,"[6, 8, 0, 11, 3, 5, 9, 1, 4, 10, 7, 2]",0,530,0.011398553848266602,True
random,48,12,"[3, 2, 4, 10, 8, 5, 11, 1, 7, 0, 6, 9]",1,10000,0.11455607414245605,False
random,49,12,"[9, 7, 0, 4, 8, 1, 3, 6, 10, 2, 5, 11]",1,10000,0.10176753997802734,False
random,0,15,"[9, 5, 8, 13, 1, 6, 2, 14, 11, 4, 10, 7, 0, 12, 3]",1,10000,0.18034744262695312,False
random,1,15,"[7, 14, 11, 2, 10, 13, 0, 4, 1, 3, 6, 9, 12, 8, 5]",1,10000,0.15477299690246582,False
random,2,15,"[12, 2, 0, 5, 11, 8, 10, 13, 3, 1, 4, 7, 14, 6, 9]",2,10000,0.1417405605316162,False
random,3,15,"[10, 12, 5, 9, 0, 1, 14, 8, 6, 2, 7, 11, 4, 3, 13]",2,10000,0.14214468002319336,False
random,4,15,"[6, 12, 7, 1, 14, 5, 3, 4, 9, 11, 13, 10, 0, 2, 8]",2,10000,0.15211796760559082,False
random,5,15,"[13, 6, 8, 1, 4, 14, 12, 10, 7, 3, 11, 0, 2, 5, 9]",2,10000,0.16893720626831055,False
random,6,15,"[9, 6, 14, 2, 4, 0, 5, 13, 10, 12, 7, 1, 3, 11, 8]",2,10000,0.14882111549377441,False
random,7,15,"[7, 12, 14, 2, 0, 9, 3, 13, 8, 10, 5, 1, 6, 4, 11]",2,10000,0.18226051330566406,False
random,8,15,"[5, 13, 1, 3, 8, 0, 12, 4, 9, 11, 6, 14, 10, 2, 7]",1,10000,0.13919878005981445,False
random,9,15,"[5, 9, 13, 0, 14, 7, 10, 1, 3, 4, 11, 2, 8, 6, 12]",2,10000,0.1439521312713623,False
random,10,15,"[4, 12, 8, 6, 13, 2, 14, 0, 7, 3, 11, 1, 10, 5, 9]",2,10000,0.14666533470153809,False
random,11,15,"[5, 11, 8, 14, 2, 12, 7, 9, 3, 0, 13, 4, 6, 1, 10]",1,10000,0.18376517295837402,False
random,12,15,"[7, 10, 12, 0, 5, 3, 11, 9, 4, 1, 13, 2, 14, 6, 8]",1,10000,0.14520549774169922,False
random,13,15,"[3, 8, 11, 5, 1, 2, 4, 10, 13, 9, 14, 0, 7, 12, 6]",2,10000,0.1757974624633789,False
random,14,15,"[4, 9, 0, 8, 14, 11, 3, 13, 7, 12, 2, 6, 5, 1, 10]",2,10000,0.15750551223754883,False
random,15,15,"[0, 10, 4, 6, 9, 13, 2, 12, 1, 7, 5, 3, 11, 14, 8]",2,10000,0.14474868774414062,False
random,16,15,"[12, 8, 5, 3, 13, 0, 14, 9, 2, 6, 11, 7, 10, 1, 4]",1,10000,0.1360940933227539,False
random,17,15,"[7, 4, 14, 1, 8, 10, 12, 13, 9, 5, 0, 2, 11, 6, 3]",2,10000,0.18424439430236816,False
random,18,15,"[0, 7, 4, 11, 3, 12, 10, 8, 5, 2, 13, 1, 6, 9, 14]",1,10000,0.14986848831176758,False
random,19,15,"[12, 5, 13, 10, 7, 14, 2, 3, 8, 0, 4, 6, 9, 11, 1]",2,10000,0.1620769500732422,False
random,20,15,"[4, 0, 12, 5, 9, 11, 6, 14, 3, 1, 10, 7, 13, 2, 8]",1,10000,0.16471076011657715,False
random,21,15,"[12, 7, 0, 4, 14, 10, 9, 3, 5, 11, 1, 13, 2, 6, 8]",2,10000,0.1369776725769043,False
random,22,15,"[2, 8, 13, 4, 9, 7, 0, 3, 12, 14, 1, 6, 10, 5, 11]",2,10000,0.13684391975402832,False
random,23,15,"[8, 9, 7, 1, 13, 0, 6, 14, 5, 2, 4, 11, 3, 12, 10]",2,10000,0.1515505313873291,False
random,24,15,"[10, 12, 4, 6, 1, 9, 5, 0, 14, 7, 11, 2, 8, 13, 3]",1,10000,0.15502691268920898,False
random,25,15,"[10, 6, 2, 0, 8, 14, 9, 13, 1, 7, 4, 12, 11, 5, 3]",1,10000,0.14688992500305176,False
random,26,15,"[6, 3, 0, 2, 14, 13, 10, 7, 11, 1, 5, 12, 9, 4, 8]",1,10000,0.16396665573120117,False
random,27,15,"[9, 2, 8, 3, 7, 0, 14, 12, 10, 13, 6, 4, 11, 1, 5]",1,10000,0.14704442024230957,False
random,28,15,"[6, 8, 7, 11, 14, 2, 5, 10, 12, 4, 9, 13, 0, 3, 1]",2,10000,0.14409971237182617,False
random,29,15,"[7, 1, 3, 0, 12, 8, 4, 11, 6, 2, 5, 10, 14, 9, 13]",2,10000,0.14171838760375977,False
