algorithm_name,env_n,scenario_n,states_n,actions_count,actions_cost,time,solution_found
UCS,9,2,4457,111.000000,291.000000,0.033920,True
UCS,10,1,5786,65.000000,65.000000,0.035216,True
UCS,10,2,7875,65.000000,632.000000,0.053136,True
UCS,11,1,4544,51.000000,51.000000,0.033008,True
UCS,11,2,7269,51.000000,420.000000,0.049826,True
UCS,12,1,7507,96.000000,96.000000,0.049525,True
UCS,12,2,7126,96.000000,600.000000,0.052805,True
UCS,13,1,736,20.000000,20.000000,0.003865,True
UCS,13,2,316,20.000000,47.000000,0.001674,True
UCS,14,1,6113,64.000000,64.000000,0.035313,True
UCS,14,2,7949,64.000000,586.000000,0.088291,True
UCS,15,1,9162,123.000000,123.000000,0.052306,True
UCS,15,2,9164,123.000000,708.000000,0.060423,True
UCS,16,1,938,23.000000,23.000000,0.005001,True
UCS,16,2,2264,23.000000,149.000000,0.012800,True
UCS,17,1,412,15.000000,15.000000,0.002195,True
UCS,17,2,1645,15.000000,123.000000,0.010537,True
UCS,18,1,4564,62.000000,62.000000,0.034000,True
UCS,18,2,3408,62.000000,224.000000,0.028187,True
UCS,19,1,8079,112.000000,112.000000,0.049639,True
UCS,19,2,6849,112.000000,418.000000,0.049147,True
UCS,20,1,6534,95.000000,95.000000,0.037723,True
UCS,20,2,7353,95.000000,617.000000,0.052008,True
UCS,21,1,6057,97.000000,97.000000,0.042094,True
UCS,21,2,8657,97.000000,898.000000,0.052400,True
UCS,22,1,7111,109.000000,109.000000,0.040057,True
UCS,22,2,3476,109.000000,244.000000,0.019828,True
UCS,23,1,5173,83.000000,83.000000,0.031357,True
UCS,23,2,3457,83.000000,290.000000,0.020064,True
UCS,24,1,930,23.000000,23.000000,0.005330,True
UCS,24,2,3566,23.000000,221.000000,0.021139,True
UCS,25,1,9044,99.000000,99.000000,0.052469,True
UCS,25,2,9114,99.000000,567.000000,0.056219,True
UCS,26,1,7872,106.000000,106.000000,0.044682,True
UCS,26,2,6373,106.000000,646.000000,0.036901,True
UCS,27,1,6824,80.000000,80.000000,0.043874,True
UCS,27,2,8809,80.000000,746.000000,0.056513,True
UCS,28,1,3353,77.000000,77.000000,0.018693,True
UCS,28,2,6389,77.000000,716.000000,0.039106,True
UCS,29,1,8179,87.000000,87.000000,0.046566,True
UCS,29,2,9004,87.000000,690.000000,0.091651,True
UCS,30,1,6731,102.000000,102.000000,0.037324,True
UCS,30,2,4052,102.000000,390.000000,0.023695,True
A*,1,1,283,64.000000,64.000000,0.001817,True
A*,1,2,283,64.000000,127.000000,0.001774,True
A*,2,1,52,14.000000,14.000000,0.000319,True
A*,2,2,52,14.000000,104.000000,0.000316,True
A*,3,1,597,52.000000,52.000000,0.003856,True
A*,3,2,597,52.000000,340.000000,0.003706,True
A*,4,1,3287,124.000000,124.000000,0.020952,True
A*,4,2,3287,124.000000,763.000000,0.022526,True
A*,5,1,215,59.000000,59.000000,0.001319,True
A*,5,2,242,59.000000,95.000000,0.001501,True
A*,6,1,150,46.000000,46.000000,0.000966,True
A*,6,2,150,46.000000,73.000000,0.001007,True
A*,7,1,794,65.000000,65.000000,0.005076,True
A*,7,2,794,65.000000,299.000000,0.005343,True
A*,8,1,925,63.000000,63.000000,0.005617,True
A*,8,2,925,63.000000,351.000000,0.005703,True
A*,9,1,1581,111.000000,111.000000,0.010020,True
A*,9,2,1581,111.000000,291.000000,0.010044,True
A*,10,1,171,65.000000,65.000000,0.001116,True
A*,10,2,171,65.000000,632.000000,0.001137,True
A*,11,1,347,51.000000,51.000000,0.002109,True
A*,11,2,347,51.000000,420.000000,0.002350,True
A*,12,1,1929,96.000000,96.000000,0.013043,True
A*,12,2,1929,96.000000,600.000000,0.013149,True
A*,13,1,51,20.000000,20.000000,0.000322,True
A*,13,2,51,20.000000,47.000000,0.000320,True
A*,14,1,238,64.000000,64.000000,0.001479,True
A*,14,2,238,64.000000,586.000000,0.001518,True
A*,15,1,3461,123.000000,123.000000,0.022734,True
A*,15,2,3461,123.000000,708.000000,0.023830,True
A*,16,1,138,23.000000,23.000000,0.000848,True
A*,16,2,138,23.000000,149.000000,0.000854,True
A*,17,1,40,15.000000,15.000000,0.000244,True
A*,17,2,40,15.000000,123.000000,0.000244,True
A*,18,1,682,62.000000,62.000000,0.004117,True
A*,18,2,682,62.000000,224.000000,0.004139,True
A*,19,1,2382,112.000000,112.000000,0.015950,True
A*,19,2,2382,112.000000,418.000000,0.019107,True
A*,20,1,1912,95.000000,95.000000,0.012580,True
A*,20,2,1912,95.000000,617.000000,0.013222,True
A*,21,1,560,97.000000,97.000000,0.003628,True
A*,21,2,544,97.000000,898.000000,0.005351,True
A*,22,1,1259,109.000000,109.000000,0.007689,True
A*,22,2,1259,109.000000,244.000000,0.008168,True
A*,23,1,1204,83.000000,83.000000,0.007733,True
A*,23,2,1204,83.000000,290.000000,0.007716,True
A*,24,1,44,23.000000,23.000000,0.000291,True
A*,24,2,44,23.000000,221.000000,0.000308,True
A*,25,1,1973,99.000000,99.000000,0.019350,True
A*,25,2,1973,99.000000,567.000000,0.014059,True
A*,26,1,2270,106.000000,106.000000,0.014960,True
A*,26,2,2270,106.000000,646.000000,0.015263,True
A*,27,1,396,80.000000,80.000000,0.002542,True
A*,27,2,391,80.000000,746.000000,0.002619,True
A*,28,1,293,77.000000,77.000000,0.001776,True
A*,28,2,293,77.000000,716.000000,0.002301,True
A*,29,1,713,87.000000,87.000000,0.004546,True
A*,29,2,713,87.000000,690.000000,0.004544,True
A*,30,1,2054,102.000000,102.000000,0.013197,True
A*,30,2,2054,102.000000,390.000000,0.014295,True
